价格,商品名称,评价人数,店铺名
￥99.00,喜百适医疗医用外科口罩单只独立包装一次性医护专用外科口罩,3.3万+条评价,圣强大药房旗舰店
￥10.90,京东超市,振德（ZHENDE)口罩一次性医用口罩男女无纺布内里口罩防尘防柳絮防花粉骑行透气10只/包 浅蓝深蓝随机发,113万+条评价
￥14.90,【现货速发】聆懿一次性医用口罩透气成人通用内含熔喷布三层设计防护口罩医用药监局备案可查 【成人蓝】医用 50片装,73万+条评价,聆懿旗舰店
￥93.00,如喜一次性医用外科口罩独立包装医用口罩成人挂耳式无菌防细菌防飞沫传播防隔离病菌防护医护人员专用 100只医用外科（独立包装）,27万+条评价,品色医疗器械专营店
￥99.00,京东超市,海氏海诺 一次性医用外科口罩 无菌三层外科灭菌口罩 50只独立包装（二类医疗器械）,4.6万+条评价
￥27.90,京东超市,XAXR 口罩一次性医用口罩男女无纺布内里口罩防尘防细菌防柳絮防花粉骑行透气 50只/袋,32万+条评价
￥79.00,海氏海诺一次性医用外科口罩无菌三层加厚,3.2万+条评价,海氏海诺海诺专卖店
￥15.80,50只装现货一次性口罩专卖三层防护防尘透气男女成人口罩批发 三层过滤(含熔喷层) 100只,26万+条评价,润欣官方旗舰店
狂欢继续！2件5折！ 11.1-11.12,京东超市,袋鼠医生口罩医用外科口罩一次性医用口罩【无菌级】成人男女通用 10只/包 3层无菌挂耳,90万+条评价
￥46.90,京东京造 一次性使用医用口罩【单片独立装】三层防护过滤率99% 蓝色成人男女通用50只/盒,11万+条评价,京东京造官方旗舰店
￥37.90,京东超市,【次日达 低至0.3/片】一次性医用防护口罩三层防护熔喷布透气成人口罩医用药监局备案可查 蓝色医用―100只【三层防护 中层熔喷布过滤】,16万+条评价
￥89.00,京东超市,百医卫仕口罩医用外科口罩独立包装灭菌级一次性医用口罩无菌医疗成人挂耳式防细菌飞沫隔离病毒病菌防护 医用外科100只蓝,2.5万+条评价
￥23.90,folca医用外科儿童口罩30只/袋,17万+条评价,folca口罩京东自营旗舰店
开门红 同价11.11 11.1-11.3,京东超市,华豫医疗医用外科一次性口罩无菌级医用口罩挂耳式防细菌飞沫透气清薄三层防护医用隔离（10片/包） 医用外科-灭菌型-100片,14万+条评价
￥19.50,京东超市,三奇医疗 3Q一次性医用外科口罩透气轻薄成人3层医用口罩 1袋10只(非无菌型),203万+条评价
￥35.90,京东超市,XAXR 【独立包装】 口罩一次性医用口罩男女无纺布内里口罩防尘防细菌防柳絮防花粉骑行透气 白色 50只,32万+条评价
￥19.90,京东超市,振德（ZHENDE)德美舒口罩一次性医用外科口罩男女无纺布内里口罩防尘防柳絮防花粉骑行透气 10只/袋 浅蓝,113万+条评价
￥19.90,京东超市,【次日达 低至0.3/片】一次性医用防护口罩三层防护熔喷布透气成人口罩医用药监局备案可查 蓝色医用―50只【三层防护 中层熔喷布过滤】,16万+条评价
￥49.00,暖骑士医用外科口罩独立包装无菌型 透气3层防护 90只,16万+条评价,奥美佳医疗器械专营店
￥89.90,京东超市,振德（ZHENDE)口罩一次性医用口罩男女无纺布内里口罩防尘防柳絮防花粉骑行透气50只/盒 浅蓝独立装,113万+条评价
￥35.90,京东超市,XAXR 【独立包装】 口罩一次性医用口罩男女无纺布内里口罩防尘防细菌防柳絮防花粉骑行透气 蓝色 50只,32万+条评价
￥158.00,3M 口罩 防雾霾 防飞沫KN95口罩PM2.5 9501+ 舒适针织带 耳戴式 1包50只 京东热爱好物节，9501V+京贴满300-40到手价79元，查看首页有更多优惠戳我购买，首页还有好礼送,1.5万+条评价,3M工业防护京东自营官方旗舰店
￥28.90,京东超市,戴思（DAISI）一次性医用口罩透气轻薄成人3层医用口罩50只 【11.1日0点抢2件5折】医用成人口罩，2件共100只到手价28.9元！先抢先得！,29万+条评价
￥38.00,京东超市,维德 WELLDAY 一次性成人医用口罩无菌防尘防柳絮轻薄透气防护三层挂耳式成人男女独立包装 50只/盒,55万+条评价
￥39.90,folca 一次性使用医用口罩50只/盒,17万+条评价,folca口罩京东自营旗舰店
￥24.90,【现货速发】聆懿一次性医用口罩透气成人通用内含熔喷布三层设计防护口罩医用药监局备案可查 【灭菌成人款】医用外科 50片装,73万+条评价,聆懿旗舰店
￥132.00,京东超市,稳健（Winner）一次性医用外科口罩 3层无菌挂耳口罩50只装 细菌过滤率大于95% 1片/袋 50袋/盒,25万+条评价
￥35.90,京东超市,劲度 一次性医用口罩带熔喷层防护 蓝色三层 防粉尘飞沫透气男女通用成人50只装,5.3万+条评价
￥79.00,京东京造 【无菌级】一次性使用医用口罩轻薄透气 成人男女通用50只/盒(内含5袋，每袋10只装）,32万+条评价,京东京造官方旗舰店
￥28.80,京东超市,unifree 一次性3D立体口罩含熔喷布3层防护防尘男女成人口罩 30片/盒 大童可用,37万+条评价
